point_index,timestamp_utc,status,setpoints_json,measurements_json,trace_name,trace_points,trace_peak_dbm
0,2026-09-03T07:58:43.425900+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 100000.0, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-43.001564
1,2026-09-03T07:58:43.620263+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 402020.20202, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-43.03164000000001
2,2026-09-03T07:58:43.915097+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 704040.40404, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-43.023301
3,2026-09-03T07:58:44.087514+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 1006060.60606, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.974943999999994
4,2026-09-03T07:58:44.289359+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 1308080.80808, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-43.017211
5,2026-09-03T07:58:44.480659+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 1610101.0101, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.949646
6,2026-09-03T07:58:44.585480+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 1912121.21212, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.967281
7,2026-09-03T07:58:44.751565+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 2214141.41414, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.92731
8,2026-09-03T07:58:44.972332+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 2516161.61616, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.907953
9,2026-09-03T07:58:45.136824+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 2818181.81818, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.931484
10,2026-09-03T07:58:45.236513+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 3120202.0202, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.93841
11,2026-09-03T07:58:45.404515+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 3422222.22222, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.889026
12,2026-09-03T07:58:45.569175+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 3724242.42424, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.887634
13,2026-09-03T07:58:45.804699+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 4026262.62626, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.890416
14,2026-09-03T07:58:45.960710+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 4328282.82828, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.92775900000001
15,2026-09-03T07:58:46.069961+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 4630303.0303, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.930239
16,2026-09-03T07:58:46.228633+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 4932323.23232, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.884387
17,2026-09-03T07:58:46.339710+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 5234343.43434, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.893045
18,2026-09-03T07:58:46.523013+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 5536363.63636, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.903798
19,2026-09-03T07:58:46.715214+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 5838383.83838, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.9264
20,2026-09-03T07:58:46.927223+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 6140404.0404, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.871133
21,2026-09-03T07:58:47.054457+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 6442424.24242, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.92565
22,2026-09-03T07:58:47.197261+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 6744444.44444, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.900711
23,2026-09-03T07:58:47.301001+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 7046464.64646, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.895613
24,2026-09-03T07:58:47.480489+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 7348484.84849, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.897176
25,2026-09-03T07:58:47.584109+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 7650505.05051, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.934561
26,2026-09-03T07:58:47.753478+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 7952525.25252, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.956566
